MANDT,AUFPL,APLZL,PLNFL,PLNKN,PLNAL,PLNTY,VINTV,PLNNR,ZAEHL,VORNR,STEUS,ARBID,PDEST,WERKS,KTSCH,LTXA1,LTXA2,TXTSP,VPLTY
1,2052298,1,0,1,1,N,0,50354898,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2052298,2,0,2,1,N,0,50354898,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052298,3,0,3,1,N,0,50354898,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052298,4,0,4,1,N,0,50354898,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052298,5,0,5,1,N,0,50354898,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052298,6,0,8,1,N,0,50354898,8,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052298,7,0,9,1,N,0,50354898,9,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052298,8,0,10,1,N,0,50354898,10,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2052298,9,0,11,1,N,0,50354898,11,90,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2052298,10,0,12,1,N,0,50354898,12,100,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2052298,11,0,13,1,N,0,50354898,13,110,US01,10005778,,US02,MMQA001,QUALITY,,EN,
1,2063580,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2067423,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2067424,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2067520,1,0,1,1,N,0,50338690,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2067520,2,0,2,1,N,0,50338690,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067520,3,0,3,1,N,0,50338690,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067520,4,0,4,1,N,0,50338690,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067520,5,0,5,1,N,0,50338690,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067520,6,0,6,1,N,0,50338690,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067520,7,0,7,1,N,0,50338690,7,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067520,8,0,8,1,N,0,50338690,8,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067520,9,0,9,1,N,0,50338690,9,90,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2067520,10,0,10,1,N,0,50338690,10,100,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067520,11,0,11,1,N,0,50338690,11,110,US01,10005778,,US02,MMQA001,QUALITY,,EN,
