week,state,brandcorp,revenue
2020-10-26,FL,DON JULIO,578131
2020-10-26,NY-U,ESPOLON,106500
2020-10-26,LA,CASAMIGOS,20773
2020-10-26,IN,ESPOLON,46409
2020-10-26,MN,CASAMIGOS,22310
2020-10-26,NE,ESPOLON,3070
2020-10-26,CO,ESPOLON,150137
2020-10-26,NM,DON JULIO,5078
2020-10-26,IN,CAZADORES,9490
2020-10-26,NM,ESPOLON,6280
2020-10-26,CA-S,CAZADORES,254103
2020-10-26,NY-U,LUNAZUL,9847
2020-10-26,MD,LUNAZUL,11742
2020-10-26,NY-M,DON JULIO,293143
2020-10-26,DE,CAZADORES,1488
2020-10-26,AR,ESPOLON,8520
2020-10-26,HI,DON JULIO,8232
2020-10-26,SD,ESPOLON,2192
2020-10-26,TX,CASAMIGOS,317188
2020-10-26,NV,ESPOLON,61712
2020-10-26,DE,CASAMIGOS,16099
2020-10-26,DE,ESPOLON,31437
2020-10-26,MN,LUNAZUL,4788
2020-10-26,CA-S,LUNAZUL,28845
2020-11-02,ND,CASAMIGOS,3715
2020-11-02,LA,CAZADORES,3004
2020-11-02,AZ,CAZADORES,3568
2020-11-02,NV,CASAMIGOS,181492
2020-11-02,NE,CAZADORES,819
2020-11-02,KS,LUNAZUL,4145
2020-11-02,AR,ESPOLON,1389
2020-11-02,DE,CASAMIGOS,43272
2020-11-02,TX,LUNAZUL,73055
2020-11-02,NM,CASAMIGOS,7251
2020-11-02,MN,CAZADORES,1601
2020-11-02,KY,ESPOLON,8515
2020-11-02,FL,CASAMIGOS,393812
2020-11-02,NY-M,CASAMIGOS,391012
2020-11-02,NY-U,LUNAZUL,12143
2020-11-02,SC,CAZADORES,2275
2020-11-02,MN,CASAMIGOS,23891
2020-11-02,KY,DON JULIO,41643
2020-11-02,AZ,LUNAZUL,7337
2020-11-02,CA-S,DON JULIO,762908
2020-11-02,DE,CAZADORES,329
2020-11-02,IL,LUNAZUL,6882
2020-11-02,IN,LUNAZUL,4965
2020-11-02,WA,LUNAZUL,15307
2020-11-02,NY-M,LUNAZUL,11963
2020-11-02,IL,ESPOLON,53207
2020-11-02,LA,DON JULIO,57286
2020-11-02,AZ,CASAMIGOS,76342
2020-11-02,SC,CASAMIGOS,47808
2020-11-02,IN,DON JULIO,59457
2020-11-02,CA-S,CAZADORES,61539
2020-11-02,NM,DON JULIO,15493
2020-11-02,DC,CASAMIGOS,37054
2020-11-02,AR,CASAMIGOS,8630
2020-11-02,KY,LUNAZUL,4013
2020-11-02,MN,DON JULIO,4075
2020-11-02,MO,CASAMIGOS,14967
2020-11-02,MN,LUNAZUL,3722
2020-11-02,LA,CASAMIGOS,28613
2020-11-02,MD,ESPOLON,31773
2020-11-02,NE,LUNAZUL,1684
2020-11-02,DE,LUNAZUL,1463
2020-11-02,NY-M,DON JULIO,54173
2020-11-02,TX,CAZADORES,39223
2020-11-02,MO,ESPOLON,16245
2020-11-02,IL,CASAMIGOS,124321
2020-11-02,CA-N,ESPOLON,29821
2020-11-02,ND,ESPOLON,1434
2020-11-02,NE,ESPOLON,1028
2020-11-02,NY-U,ESPOLON,60574
2020-11-02,KS,CASAMIGOS,1374
2020-11-02,TX,CASAMIGOS,352025
2020-11-02,NY-M,CAZADORES,12930
2020-11-02,NV,LUNAZUL,1855
2020-11-02,SD,LUNAZUL,216
2020-11-02,NE,CASAMIGOS,7245
2020-11-02,HI,CASAMIGOS,19586
2020-11-02,DC,LUNAZUL,1127
2020-11-02,SD,CASAMIGOS,2748
2020-11-02,FL,LUNAZUL,38740
2020-11-02,CO,LUNAZUL,19187
2020-11-02,WA,DON JULIO,55127
2020-11-02,NY-U,DON JULIO,20852
2020-11-02,MN,ESPOLON,14160
2020-11-02,IN,CAZADORES,3306
2020-11-02,IN,CASAMIGOS,25313
2020-11-02,MD,CASAMIGOS,86982
2020-11-02,CO,CASAMIGOS,123491
2020-11-02,DE,ESPOLON,17642
2020-11-02,HI,CAZADORES,8187
2020-11-02,MO,CAZADORES,763
2020-11-02,CA-S,LUNAZUL,15072
2020-11-02,WA,CAZADORES,7993
2020-11-02,NV,DON JULIO,42562
2020-11-02,CA-N,CAZADORES,53768
2020-11-02,NY-U,CAZADORES,1284
