	MANDT	AUFNR				POSNR		PSOBS	QUNUM	QUPOS	PROJN				PLNUM	STRMP	ETRMP	KDAUF	KDPOS	KDEIN	BESKZ	PSAMG	PSMNG	WEMNG	IAMNG	AMEIN	MEINS
	001	25003096303				0001		E		000	FP.514827.R.BF.AS				885269453	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096305				0001		E		000	FP.514827.R.BF.AS				885290580	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096307				0001		E		000	FP.514827.R.BF.AS				885314560	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096309				0001		E		000	EP.520718.F.R.BF.AS				885437433	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096311				0001		E		000	FP.514827.R.BF.AS				885473476	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096313				0001		E		000	FP.514828.R.BF.AS				885223703	03/07/2018	02/28/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096530				0001		E		000	EP.885034.F.R.BA.AL				887467871	02/15/2018	02/08/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096532				0001		E		000	EP.885034.F.R.BA.AL				887467985	03/02/2018	02/23/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003096578				0001		E		000	EP.885036.F.R.BA.AL				887467983	03/02/2018	02/23/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096601				0001		E		000	EP.885036.F.R.CU.AL				887468001	03/02/2018	02/23/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003096602				0001		E		000	EP.885035.F.R.CU.AL				887468000	03/02/2018	02/23/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003191398				0001		E		000	FP.514852.R.CV.CP				921158033	06/12/2018	06/05/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003191400				0001		E		000	FP.514852.R.BV.CP				920735014	06/12/2018	06/05/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003191404				0001		E		000	FP.514852.R.BV.CP				920799466	06/12/2018	06/05/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003364439				0001		E		000	EP.440038.F.4.AB				983821600	11/26/2018	11/19/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003364468				0001		E		000	FP.560229.R.BA.AL				983823089	11/26/2018	11/19/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003364525				0001		E		000	FP.560229.R.BA.AL				983823639	11/26/2018	11/19/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003364621				0001		E		000	EP.885037.F.R.CU.AL				982879739	12/17/2018	12/10/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003364624				0001		E		000	EP.885047.F.R.BA.AL				983820771	12/14/2018	12/07/2018		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25003364627				0001		E		000	EP.885047.F.R.BA.AL				983820549	11/26/2018	11/19/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651518				0001		E		000	EP.590322.F.R.BA.S3				1079785813	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651521				0001		E		000	EP.590402.F.R.BA.S3				1079794424	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651524				0001		E		000	EP.590402.F.R.BA.S3				1079799835	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651720				0001		E		000	EP.590322.F.R.CU.S3				1079966802	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651723				0001		E		000	EP.590320.F.R.BA.S3				1079971101	10/01/2019	09/24/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651726				0001		E		000	EP.590402.F.R.BA.S3				1079972049	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651894				0001		E		000	EP.590320.F.R.BA.S3				1079937193	10/01/2019	09/24/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651896				0001		E		000	EP.590402.F.R.BA.S3				1079952977	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651897				0001		E		000	EP.590320.F.R.BA.S3				1079964026	10/01/2019	09/24/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651899				0001		E		000	EP.590402.F.R.BA.S3				1079970556	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651900				0001		E		000	EP.590322.F.R.CU.S3				1079990773	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651902				0001		E		000	EP.590322.F.R.CU.S3				1079993259	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651913				0001		E		000	EP.590444.F.R.CU.S3				1079806324	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651915				0001		E		000	EP.590444.F.R.BA.S3				1079818559	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651917				0001		E		000	EP.590322.F.R.BA.S3				1079825590	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003651919				0001		E		000	EP.590322.F.R.BA.S3				1079835033	09/30/2019	09/23/2019		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25003660794				0001		E		000	EP.590430.F.R.BA.S3				1082621256	10/07/2019	09/30/2019		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
